Date,Page Views,Add to Cart,Purchase Frequency,Customer Satisfaction
2023-05-03,272,45,0.1214718833502036,3
2023-05-04,295,65,0.07933534214410098,3
2023-05-05,321,53,0.10254703073558932,3
2023-05-06,257,44,0.119783278550517,5
2023-05-07,308,55,0.14002641112020703,5
2023-05-08,339,54,0.12921911948016762,5
2023-05-09,308,54,0.1176361067872724,4
2023-05-10,262,69,0.11796331823951435,5
2023-05-11,288,43,0.14459246440320866,4
2023-05-12,277,47,0.07958240974965361,5
2023-05-13,338,66,0.050111209419618746,4
2023-05-14,310,55,0.07719545593981987,5
2023-05-15,265,67,0.0717891379626744,5
2023-05-16,251,55,0.11618345851139981,3
2023-05-17,331,69,0.11337115997655291,5
2023-05-18,266,43,0.10934613827047238,5
2023-05-19,279,52,0.05162434432094537,3
2023-05-20,262,65,0.12287780544506474,4
2023-05-21,345,67,0.08235304124854916,3
2023-05-22,342,52,0.1165055989006631,3
2023-05-23,343,41,0.10565784285021533,4
2023-05-24,331,42,0.08427309254279072,5
2023-05-25,262,61,0.06345762671041077,4
2023-05-26,292,47,0.0594418897660481,5
2023-05-27,334,63,0.13315183331122235,5
2023-05-28,343,54,0.1418397542081558,4
2023-05-29,270,50,0.11497880467642996,3
2023-05-30,304,48,0.06034341148604834,4
2023-05-31,330,46,0.09020272168882407,5
2023-06-01,289,52,0.12289392001051572,4
2023-06-02,332,41,0.1279820884010068,4
2023-06-03,264,47,0.06182186222910886,5
2023-06-04,322,46,0.050003071884538244,3
2023-06-05,301,63,0.1212137045880605,4
2023-06-06,323,51,0.08565961759862056,5
2023-06-07,344,58,0.07544813316182603,5
2023-06-08,302,46,0.05128974697895255,4
2023-06-09,336,49,0.10402994067614996,3
2023-06-10,301,68,0.13511507354259816,4
2023-06-11,279,64,0.1457631646272588,3
2023-06-12,282,55,0.10657449506132892,3
2023-06-13,306,42,0.10144613277398942,3
2023-06-14,301,69,0.05850563854892411,3
2023-06-15,258,49,0.10488728015425997,4
2023-06-16,303,45,0.08799790789653947,5
2023-06-17,250,57,0.11071352808835769,5
2023-06-18,293,57,0.08887263478765467,5
2023-06-19,348,44,0.07402991234503667,5
2023-06-20,324,60,0.059496527522837656,5
2023-06-21,347,68,0.08149184445888957,5
2023-06-22,329,46,0.05966448342877523,4
2023-06-23,258,67,0.06768969508239839,3
2023-06-24,281,41,0.14873361585795458,5
2023-06-25,264,50,0.09441035569066186,4
2023-06-26,261,69,0.10318717665050164,5
2023-06-27,346,52,0.13736185287372155,5
2023-06-28,327,62,0.14955689004906877,3
2023-06-29,306,44,0.10827144493446815,3
2023-06-30,257,69,0.13124738210441717,3
2023-07-01,321,45,0.08269410243366752,5
2023-07-02,276,63,0.0805743957447291,5
2023-07-03,311,65,0.09027037209945601,5
2023-07-04,261,68,0.11725072626736491,3
2023-07-05,314,53,0.11821916892550988,4
2023-07-06,291,51,0.08152394346494508,5
2023-07-07,311,43,0.06332099241366287,5
2023-07-08,260,68,0.11323962564655085,5
2023-07-09,292,62,0.06283258621887645,4
2023-07-10,344,45,0.10784925082293301,5
2023-07-11,266,49,0.1193422128056309,4
2023-07-12,346,57,0.12006114963944516,5
2023-07-13,281,54,0.12534721106595967,4
2023-07-14,342,47,0.13728594215656645,5
2023-07-15,334,65,0.09999589919647883,3
2023-07-16,334,48,0.12302491895295711,3
2023-07-17,289,44,0.11191727353658368,3
2023-07-18,272,49,0.06866399397976826,3
2023-07-19,305,59,0.05256896448694082,5
2023-07-20,255,45,0.07845413856769337,3
2023-07-21,335,55,0.09430337063376193,4
2023-07-22,299,63,0.11171059444286563,3
2023-07-23,286,66,0.13499593305032054,3
2023-07-24,313,42,0.06962457167061656,3
2023-07-25,303,49,0.06255497898984771,5
2023-07-26,321,50,0.14634799474743276,3
2023-07-27,298,50,0.060804455937640715,4
2023-07-28,348,56,0.09784910701071892,3
2023-07-29,260,43,0.10855637287933018,3
2023-07-30,337,43,0.10413744209074383,3
2023-07-31,298,56,0.058603215703294326,4
2023-08-01,270,48,0.05570269140036194,3
2023-08-02,315,58,0.06054834274610357,4
2023-08-03,312,44,0.10855876838726125,4
2023-08-04,332,61,0.10443448876343212,3
2023-08-05,277,63,0.07337407920367442,4
2023-08-06,266,45,0.11377741418455915,5
2023-08-07,255,42,0.13200675020556493,3
2023-08-08,268,61,0.05415789598465938,3
2023-08-09,305,40,0.09981299435480423,4
2023-08-10,277,59,0.11893104121026903,4
2023-08-11,315,61,0.07523119270696871,3
2023-08-12,287,55,0.08077709052931491,5
2023-08-13,286,62,0.11136379029893838,4
2023-08-14,317,50,0.13979352934437367,4
2023-08-15,335,52,0.13099244203028992,5
2023-08-16,339,66,0.10831302190995834,5
2023-08-17,298,49,0.12302217177572491,3
2023-08-18,292,42,0.08648224702077986,5
2023-08-19,285,48,0.11409655280987577,3
2023-08-20,307,67,0.0966181591127557,5
2023-08-21,262,51,0.0689936136457561,4
2023-08-22,301,62,0.12017382738772571,3
2023-08-23,307,53,0.1056464637348822,3
2023-08-24,281,40,0.08586215819535914,3
2023-08-25,330,57,0.14113391900786307,5
2023-08-26,349,56,0.05209341178267333,4
2023-08-27,309,66,0.0815773151249496,3
2023-08-28,332,48,0.055688139777764656,3
2023-08-29,307,48,0.12665273162216273,3
2023-08-30,348,62,0.12021074541137926,3
2023-08-31,305,49,0.0831352218736317,4
2023-09-01,277,58,0.1175662902207073,5
2023-09-02,250,68,0.08959372261959499,4
2023-09-03,291,54,0.12562537914224342,3
2023-09-04,331,44,0.0954183662736706,4
2023-09-05,297,54,0.09122797278316655,3
2023-09-06,289,59,0.1434729915488301,5
2023-09-07,346,62,0.07508790998907003,5
2023-09-08,312,69,0.06204473399965654,5
2023-09-09,325,64,0.10845431132594582,3
2023-09-10,321,67,0.1469321812284179,4
2023-09-11,337,41,0.08778392137271866,5
2023-09-12,329,52,0.05620367636287815,3
2023-09-13,253,63,0.08393052673095674,3
2023-09-14,287,55,0.10059316543195584,4
2023-09-15,276,54,0.06619230066322138,5
2023-09-16,258,64,0.1158102218056492,3
2023-09-17,265,49,0.14977493890102006,4
2023-09-18,305,53,0.09517394759814438,5
2023-09-19,325,49,0.08547285567302126,4
2023-09-20,280,64,0.09007041668344666,4
2023-09-21,337,53,0.061514617839520114,3
2023-09-22,263,65,0.13832736014262237,3
2023-09-23,274,69,0.0914825655521352,3
2023-09-24,283,62,0.08872744114248413,4
2023-09-25,316,48,0.11596902729304744,3
2023-09-26,273,64,0.09420334209311235,4
2023-09-27,322,53,0.1148233468807846,4
2023-09-28,275,42,0.056144629013078755,3
2023-09-29,269,59,0.13137233437222273,5
2023-09-30,313,55,0.14405039528794025,5
2023-10-01,259,41,0.11487653861593859,5
2023-10-02,332,49,0.1454565928858811,4
2023-10-03,316,42,0.06514323143699632,4
2023-10-04,273,50,0.09774161894803537,4
2023-10-05,254,50,0.11018067339454472,3
2023-10-06,316,60,0.10817366474211867,4
2023-10-07,307,60,0.09014617790890432,3
2023-10-08,276,61,0.08380844093662614,3
2023-10-09,329,52,0.06268240225504187,5
2023-10-10,264,46,0.08917424505622781,5
2023-10-11,284,62,0.06626608151054851,5
2023-10-12,325,56,0.12343656764922184,3
2023-10-13,302,69,0.070883093549459,3
2023-10-14,293,41,0.05585653052845339,3
2023-10-15,275,51,0.10523661378172343,4
2023-10-16,296,64,0.10952297327194016,3
2023-10-17,283,49,0.13719130612805053,5
2023-10-18,336,57,0.10769816124176818,5
2023-10-19,344,61,0.08454808537234457,3
2023-10-20,299,66,0.13030118815263203,3
2023-10-21,333,50,0.1040278893187421,5
2023-10-22,261,55,0.057928028463119174,3
2023-10-23,336,56,0.10658505603132466,5
2023-10-24,253,58,0.14080185454216623,4
2023-10-25,336,57,0.08963126254982205,5
2023-10-26,297,42,0.07963258018998001,4
2023-10-27,304,60,0.06434694570180201,3
2023-10-28,250,66,0.06514455219353574,3
2023-10-29,338,65,0.09327714843418189,4
2023-10-30,315,55,0.10956798241615295,3
2023-10-31,279,45,0.05806154051696018,4
2023-11-01,252,64,0.14395685890251658,3
2023-11-02,270,51,0.1255133617445196,5
2023-11-03,338,50,0.10866239182836626,3
2023-11-04,333,54,0.13284386709389906,5
2023-11-05,298,54,0.05801867568121133,5
2023-11-06,335,55,0.09768388777331244,4
2023-11-07,334,49,0.11300931268616633,3
2023-11-08,311,51,0.13286529061182892,4
2023-11-09,346,67,0.12834695600492677,3
2023-11-10,287,52,0.07770692497133996,5
2023-11-11,264,43,0.14408801695592044,5
2023-11-12,301,46,0.06243458414308704,3
2023-11-13,328,61,0.1375133618621152,3
2023-11-14,295,41,0.14709402496046187,4
2023-11-15,274,65,0.06771535232226256,3
2023-11-16,270,66,0.12220660642037852,3
2023-11-17,337,66,0.05402855187779985,3
2023-11-18,254,66,0.0905422825139155,4
2023-11-19,319,54,0.10162832991976739,3
2023-11-20,296,47,0.10806452259096341,5
2023-11-21,336,46,0.14359372482485594,4
2023-11-22,317,54,0.11722506872941947,4
2023-11-23,340,62,0.0981277951219237,5
2023-11-24,267,53,0.13096750362658893,5
2023-11-25,270,47,0.14505328209544088,5
2023-11-26,341,67,0.052206614868229084,3
2023-11-27,348,51,0.14825212722560388,5
2023-11-28,335,52,0.058613213906368034,3
2023-11-29,272,69,0.13143867792687614,4
2023-11-30,313,50,0.07803347525514125,4
2023-12-01,316,56,0.06321796577538717,5
2023-12-02,289,68,0.0939855639713835,3
2023-12-03,259,56,0.11439565794476135,5
2023-12-04,338,63,0.0880951845023475,5
2023-12-05,301,43,0.055456540828269896,3
2023-12-06,321,60,0.10994611396587166,5
2023-12-07,324,47,0.14024032761106747,4
2023-12-08,310,44,0.08832153659472516,5
2023-12-09,313,65,0.0716332777630827,3
2023-12-10,254,55,0.09425773459328154,3
2023-12-11,302,43,0.05483627110487809,4
2023-12-12,304,67,0.1320487584480275,3
2023-12-13,286,61,0.13263408109501867,3
2023-12-14,305,68,0.10880004634296284,4
2023-12-15,308,54,0.08531028889383895,5
2023-12-16,342,51,0.12997833644457835,4
2023-12-17,318,44,0.10546870247883672,5
2023-12-18,322,69,0.13259323085500163,4
2023-12-19,308,62,0.11314587925830207,5
2023-12-20,251,55,0.12844054732127974,4
2023-12-21,314,53,0.10985629932177599,5
2023-12-22,309,49,0.09141410682156662,4
2023-12-23,300,46,0.14579458599261375,5
2023-12-24,279,52,0.10411138248788447,4
2023-12-25,260,59,0.11050895185405384,3
2023-12-26,341,67,0.07204876394147493,5
2023-12-27,325,68,0.11256507894272764,4
2023-12-28,288,44,0.10716076494829438,5
2023-12-29,339,68,0.06848383979470249,5
2023-12-30,326,42,0.055958709735314374,4
2023-12-31,321,54,0.11043593197147711,5
